location_name,location_code,location_region_group,location_income_group,location_wblend_group,location_region_group_code,location_code_adj
Aruba,ABW,Latin America & Caribbean (LCN),High income,,3LCN,ABW
Afghanistan,AFG,South Asia (SAS),Low income,IDA,5SAS,AFG
Angola,AGO,Sub-Saharan Africa (SSF),Lower middle income,IBRD,1SSF,AGO
Albania,ALB,Europe & Central Asia (ECS),Upper middle income,IBRD,6ECS,ALB
Andorra,AND,Europe & Central Asia (ECS),High income,,6ECS,AND
United Arab Emirates,ARE,Middle East & North Africa (MEA),High income,,2MEA,ARE
Argentina,ARG,Latin America & Caribbean (LCN),Upper middle income,IBRD,3LCN,ARG
Armenia,ARM,Europe & Central Asia (ECS),Upper middle income,IBRD,6ECS,ARM
American Samoa,ASM,East Asia & Pacific (EAS),High income,,7EAS,ASM
Antigua and Barbuda,ATG,Latin America & Caribbean (LCN),High income,IBRD,3LCN,ATG
Australia,AUS,East Asia & Pacific (EAS),High income,,7EAS,AUS
Austria,AUT,Europe & Central Asia (ECS),High income,,6ECS,AUT
Azerbaijan,AZE,Europe & Central Asia (ECS),Upper middle income,IBRD,6ECS,AZE
Burundi,BDI,Sub-Saharan Africa (SSF),Low income,IDA,1SSF,BDI
Belgium,BEL,Europe & Central Asia (ECS),High income,,6ECS,BEL
Benin,BEN,Sub-Saharan Africa (SSF),Lower middle income,IDA,1SSF,BEN
Burkina Faso,BFA,Sub-Saharan Africa (SSF),Low income,IDA,1SSF,BFA
Bangladesh,BGD,South Asia (SAS),Lower middle income,IDA,5SAS,BGD
Bulgaria,BGR,Europe & Central Asia (ECS),Upper middle income,IBRD,6ECS,BGR
Bahrain,BHR,Middle East & North Africa (MEA),High income,,2MEA,BHR
"Bahamas, The",BHS,Latin America & Caribbean (LCN),High income,,3LCN,BHS
Bosnia and Herzegovina,BIH,Europe & Central Asia (ECS),Upper middle income,IBRD,6ECS,BIH
Belarus,BLR,Europe & Central Asia (ECS),Upper middle income,IBRD,6ECS,BLR
Belize,BLZ,Latin America & Caribbean (LCN),Upper middle income,IBRD,3LCN,BLZ
Bermuda,BMU,North America (NAC),High income,,4NAC,BMU
Bolivia,BOL,Latin America & Caribbean (LCN),Lower middle income,IBRD,3LCN,BOL
Brazil,BRA,Latin America & Caribbean (LCN),Upper middle income,IBRD,3LCN,BRA
Barbados,BRB,Latin America & Caribbean (LCN),High income,,3LCN,BRB
Brunei Darussalam,BRN,East Asia & Pacific (EAS),High income,,7EAS,BRN
Bhutan,BTN,South Asia (SAS),Lower middle income,IDA,5SAS,BTN
Botswana,BWA,Sub-Saharan Africa (SSF),Upper middle income,IBRD,1SSF,BWA
Central African Republic,CAF,Sub-Saharan Africa (SSF),Low income,IDA,1SSF,CAF
Canada,CAN,North America (NAC),High income,,4NAC,CAN
Switzerland,CHE,Europe & Central Asia (ECS),High income,,6ECS,CHE
Channel Islands,CHI,Europe & Central Asia (ECS),High income,,6ECS,CHI
Chile,CHL,Latin America & Caribbean (LCN),High income,IBRD,3LCN,CHL
China,CHN,East Asia & Pacific (EAS),Upper middle income,IBRD,7EAS,CHN
Côte d'Ivoire,CIV,Sub-Saharan Africa (SSF),Lower middle income,IDA,1SSF,CIV
Cameroon,CMR,Sub-Saharan Africa (SSF),Lower middle income,Blend,1SSF,CMR
"Congo, Dem. Rep.",COD,Sub-Saharan Africa (SSF),Low income,IDA,1SSF,COD
"Congo, Rep.",COG,Sub-Saharan Africa (SSF),Lower middle income,Blend,1SSF,COG
Colombia,COL,Latin America & Caribbean (LCN),Upper middle income,IBRD,3LCN,COL
Comoros,COM,Sub-Saharan Africa (SSF),Lower middle income,IDA,1SSF,COM
Cabo Verde,CPV,Sub-Saharan Africa (SSF),Lower middle income,Blend,1SSF,CPV
Costa Rica,CRI,Latin America & Caribbean (LCN),Upper middle income,IBRD,3LCN,CRI
Cuba,CUB,Latin America & Caribbean (LCN),Upper middle income,,3LCN,CUB
Curaçao,CUW,Latin America & Caribbean (LCN),High income,,3LCN,CUW
Cayman Islands,CYM,Latin America & Caribbean (LCN),High income,,3LCN,CYM
Cyprus,CYP,Europe & Central Asia (ECS),High income,,6ECS,CYP
Czechia,CZE,Europe & Central Asia (ECS),High income,,6ECS,CZE
Germany,DEU,Europe & Central Asia (ECS),High income,,6ECS,DEU
Djibouti,DJI,Middle East & North Africa (MEA),Lower middle income,IDA,2MEA,DJI
Dominica,DMA,Latin America & Caribbean (LCN),Upper middle income,Blend,3LCN,DMA
Denmark,DNK,Europe & Central Asia (ECS),High income,,6ECS,DNK
Dominican Republic,DOM,Latin America & Caribbean (LCN),Upper middle income,IBRD,3LCN,DOM
Algeria,DZA,Middle East & North Africa (MEA),Lower middle income,IBRD,2MEA,DZA
Ecuador,ECU,Latin America & Caribbean (LCN),Upper middle income,IBRD,3LCN,ECU
Egypt,EGY,Middle East & North Africa (MEA),Lower middle income,IBRD,2MEA,EGY
Eritrea,ERI,Sub-Saharan Africa (SSF),Low income,IDA,1SSF,ERI
Spain,ESP,Europe & Central Asia (ECS),High income,,6ECS,ESP
Estonia,EST,Europe & Central Asia (ECS),High income,,6ECS,EST
Ethiopia,ETH,Sub-Saharan Africa (SSF),Low income,IDA,1SSF,ETH
Finland,FIN,Europe & Central Asia (ECS),High income,,6ECS,FIN
Fiji,FJI,East Asia & Pacific (EAS),Upper middle income,Blend,7EAS,FJI
France,FRA,Europe & Central Asia (ECS),High income,,6ECS,FRA
Faroe Islands,FRO,Europe & Central Asia (ECS),High income,,6ECS,FRO
Micronesia,FSM,East Asia & Pacific (EAS),Lower middle income,IDA,7EAS,FSM
Gabon,GAB,Sub-Saharan Africa (SSF),Upper middle income,IBRD,1SSF,GAB
United Kingdom,GBR,Europe & Central Asia (ECS),High income,,6ECS,GBR
Georgia,GEO,Europe & Central Asia (ECS),Upper middle income,IBRD,6ECS,GEO
Ghana,GHA,Sub-Saharan Africa (SSF),Lower middle income,IDA,1SSF,GHA
Gibraltar,GIB,Europe & Central Asia (ECS),High income,,6ECS,GIB
Guinea,GIN,Sub-Saharan Africa (SSF),Lower middle income,IDA,1SSF,GIN
Gambia,GMB,Sub-Saharan Africa (SSF),Low income,IDA,1SSF,GMB
Guinea-Bissau,GNB,Sub-Saharan Africa (SSF),Low income,IDA,1SSF,GNB
Equatorial Guinea,GNQ,Sub-Saharan Africa (SSF),Upper middle income,IBRD,1SSF,GNQ
Greece,GRC,Europe & Central Asia (ECS),High income,,6ECS,GRC
Grenada,GRD,Latin America & Caribbean (LCN),Upper middle income,Blend,3LCN,GRD
Greenland,GRL,Europe & Central Asia (ECS),High income,,6ECS,GRL
Guatemala,GTM,Latin America & Caribbean (LCN),Upper middle income,IBRD,3LCN,GTM
Guam,GUM,East Asia & Pacific (EAS),High income,,7EAS,GUM
Guyana,GUY,Latin America & Caribbean (LCN),High income,IDA,3LCN,GUY
"Hong Kong SAR, China",HKG,East Asia & Pacific (EAS),High income,,7EAS,HKG
Honduras,HND,Latin America & Caribbean (LCN),Lower middle income,IDA,3LCN,HND
Croatia,HRV,Europe & Central Asia (ECS),High income,IBRD,6ECS,HRV
Haiti,HTI,Latin America & Caribbean (LCN),Lower middle income,IDA,3LCN,HTI
Hungary,HUN,Europe & Central Asia (ECS),High income,,6ECS,HUN
Indonesia,IDN,East Asia & Pacific (EAS),Upper middle income,IBRD,7EAS,IDN
Isle of Man,IMN,Europe & Central Asia (ECS),High income,,6ECS,IMN
India,IND,South Asia (SAS),Lower middle income,IBRD,5SAS,IND
Ireland,IRL,Europe & Central Asia (ECS),High income,,6ECS,IRL
Iran,IRN,Middle East & North Africa (MEA),Lower middle income,IBRD,2MEA,IRN
Iraq,IRQ,Middle East & North Africa (MEA),Upper middle income,IBRD,2MEA,IRQ
Iceland,ISL,Europe & Central Asia (ECS),High income,,6ECS,ISL
Israel,ISR,Middle East & North Africa (MEA),High income,,2MEA,ISR
Italy,ITA,Europe & Central Asia (ECS),High income,,6ECS,ITA
Jamaica,JAM,Latin America & Caribbean (LCN),Upper middle income,IBRD,3LCN,JAM
Jordan,JOR,Middle East & North Africa (MEA),Lower middle income,IBRD,2MEA,JOR
Japan,JPN,East Asia & Pacific (EAS),High income,,7EAS,JPN
Kazakhstan,KAZ,Europe & Central Asia (ECS),Upper middle income,IBRD,6ECS,KAZ
Kenya,KEN,Sub-Saharan Africa (SSF),Lower middle income,Blend,1SSF,KEN
Kyrgyz Republic,KGZ,Europe & Central Asia (ECS),Lower middle income,IDA,6ECS,KGZ
Cambodia,KHM,East Asia & Pacific (EAS),Lower middle income,IDA,7EAS,KHM
Kiribati,KIR,East Asia & Pacific (EAS),Lower middle income,IDA,7EAS,KIR
St. Kitts and Nevis,KNA,Latin America & Caribbean (LCN),High income,IBRD,3LCN,KNA
"Korea, Rep.",KOR,East Asia & Pacific (EAS),High income,,7EAS,KOR
Kuwait,KWT,Middle East & North Africa (MEA),High income,,2MEA,KWT
Lao PDR,LAO,East Asia & Pacific (EAS),Lower middle income,IDA,7EAS,LAO
Lebanon,LBN,Middle East & North Africa (MEA),Lower middle income,IBRD,2MEA,LBN
Liberia,LBR,Sub-Saharan Africa (SSF),Low income,IDA,1SSF,LBR
Libya,LBY,Middle East & North Africa (MEA),Upper middle income,IBRD,2MEA,LBY
St. Lucia,LCA,Latin America & Caribbean (LCN),Upper middle income,Blend,3LCN,LCA
Liechtenstein,LIE,Europe & Central Asia (ECS),High income,,6ECS,LIE
