location_code,region,year_bins,pct_change
"EAS","East Asia and Pacific",1960,-10.97503
"EAS","East Asia and Pacific",1961,-10.6158
"EAS","East Asia and Pacific",1962,-8.725237
"EAS","East Asia and Pacific",1963,-5.702398
"EAS","East Asia and Pacific",1964,-2.990962
"EAS","East Asia and Pacific",1965,-.62512
"EAS","East Asia and Pacific",1966,2.316816
"EAS","East Asia and Pacific",1967,4.595405
"EAS","East Asia and Pacific",1968,6.644111
"EAS","East Asia and Pacific",1969,8.858569
"EAS","East Asia and Pacific",1970,11.29397
"EAS","East Asia and Pacific",1971,14.18653
"EAS","East Asia and Pacific",1972,16.7443
"EAS","East Asia and Pacific",1973,19.08157
"EAS","East Asia and Pacific",1974,21.01731
"EAS","East Asia and Pacific",1975,22.32622
"EAS","East Asia and Pacific",1976,23.00731
"EAS","East Asia and Pacific",1977,23.17048
"EAS","East Asia and Pacific",1978,22.95449
"EAS","East Asia and Pacific",1979,22.46717
"EAS","East Asia and Pacific",1980,21.72963
"EAS","East Asia and Pacific",1981,20.55448
"EAS","East Asia and Pacific",1982,19.64041
"EAS","East Asia and Pacific",1983,18.74515
"EAS","East Asia and Pacific",1984,17.76032
"EAS","East Asia and Pacific",1985,16.89
"EAS","East Asia and Pacific",1986,16.80659
"EAS","East Asia and Pacific",1987,16.91942
"EAS","East Asia and Pacific",1988,17.17583
"EAS","East Asia and Pacific",1989,17.44967
"EAS","East Asia and Pacific",1990,17.62831
"EAS","East Asia and Pacific",1991,18.57325
"EAS","East Asia and Pacific",1992,18.70943
"EAS","East Asia and Pacific",1993,18.42953
"EAS","East Asia and Pacific",1994,18.2479
"EAS","East Asia and Pacific",1995,18.33348
"EAS","East Asia and Pacific",1996,17.21657
"EAS","East Asia and Pacific",1997,16.9792
"EAS","East Asia and Pacific",1998,17.00645
"EAS","East Asia and Pacific",1999,16.40878
"EAS","East Asia and Pacific",2000,14.86974
"EAS","East Asia and Pacific",2001,13.69141
"EAS","East Asia and Pacific",2002,11.50529
"EAS","East Asia and Pacific",2003,8.742787
"EAS","East Asia and Pacific",2004,6.196339
"EAS","East Asia and Pacific",2005,4.295243
"EAS","East Asia and Pacific",2006,2.625412
"EAS","East Asia and Pacific",2007,1.528342
"EAS","East Asia and Pacific",2008,.9348835
"EAS","East Asia and Pacific",2009,.5167102
"EAS","East Asia and Pacific",2010,.1189362
"EAS","East Asia and Pacific",2011,-.0728639
"EAS","East Asia and Pacific",2012,-.1150036
"EAS","East Asia and Pacific",2013,-.1100983
"EAS","East Asia and Pacific",2014,-.0653531
"EAS","East Asia and Pacific",2015,-.0070314
"EAS","East Asia and Pacific",2016,.17616
"EAS","East Asia and Pacific",2017,.3053028
"EAS","East Asia and Pacific",2018,.3071163
"EAS","East Asia and Pacific",2019,.2144714
"EAS","East Asia and Pacific",2020,0
"ECS","Europe and Central Asia",1960,12.34573
"ECS","Europe and Central Asia",1961,14.28587
"ECS","Europe and Central Asia",1962,15.82722
"ECS","Europe and Central Asia",1963,16.99312
"ECS","Europe and Central Asia",1964,17.92789
"ECS","Europe and Central Asia",1965,18.68216
"ECS","Europe and Central Asia",1966,19.26229
"ECS","Europe and Central Asia",1967,19.59552
"ECS","Europe and Central Asia",1968,19.70541
"ECS","Europe and Central Asia",1969,19.65641
"ECS","Europe and Central Asia",1970,19.43659
"ECS","Europe and Central Asia",1971,18.99335
"ECS","Europe and Central Asia",1972,18.67173
"ECS","Europe and Central Asia",1973,18.32428
"ECS","Europe and Central Asia",1974,17.86308
"ECS","Europe and Central Asia",1975,17.26434
"ECS","Europe and Central Asia",1976,16.90391
"ECS","Europe and Central Asia",1977,16.30752
"ECS","Europe and Central Asia",1978,15.60359
"ECS","Europe and Central Asia",1979,14.97173
"ECS","Europe and Central Asia",1980,14.52242
"ECS","Europe and Central Asia",1981,14.26341
"ECS","Europe and Central Asia",1982,14.14424
"ECS","Europe and Central Asia",1983,14.14285
"ECS","Europe and Central Asia",1984,14.19682
"ECS","Europe and Central Asia",1985,14.21754
"ECS","Europe and Central Asia",1986,14.42647
"ECS","Europe and Central Asia",1987,14.56851
"ECS","Europe and Central Asia",1988,14.61653
"ECS","Europe and Central Asia",1989,14.52125
"ECS","Europe and Central Asia",1990,14.18723
"ECS","Europe and Central Asia",1991,13.95558
"ECS","Europe and Central Asia",1992,13.4031
"ECS","Europe and Central Asia",1993,12.5951
"ECS","Europe and Central Asia",1994,11.54558
"ECS","Europe and Central Asia",1995,10.33864
"ECS","Europe and Central Asia",1996,8.734114
"ECS","Europe and Central Asia",1997,7.236094
"ECS","Europe and Central Asia",1998,5.728961
"ECS","Europe and Central Asia",1999,4.07288
"ECS","Europe and Central Asia",2000,2.249876
