location_code,region,year_bins,youthpop
"EAS","East Asia and Pacific",1960,4.100161
"EAS","East Asia and Pacific",1961,4.116706
"EAS","East Asia and Pacific",1962,4.203778
"EAS","East Asia and Pacific",1963,4.342999
"EAS","East Asia and Pacific",1964,4.467878
"EAS","East Asia and Pacific",1965,4.57684
"EAS","East Asia and Pacific",1966,4.712334
"EAS","East Asia and Pacific",1967,4.817278
"EAS","East Asia and Pacific",1968,4.911634
"EAS","East Asia and Pacific",1969,5.013623
"EAS","East Asia and Pacific",1970,5.125789
"EAS","East Asia and Pacific",1971,5.25901
"EAS","East Asia and Pacific",1972,5.376811
"EAS","East Asia and Pacific",1973,5.484457
"EAS","East Asia and Pacific",1974,5.57361
"EAS","East Asia and Pacific",1975,5.633894
"EAS","East Asia and Pacific",1976,5.665262
"EAS","East Asia and Pacific",1977,5.672777
"EAS","East Asia and Pacific",1978,5.662829
"EAS","East Asia and Pacific",1979,5.640385
"EAS","East Asia and Pacific",1980,5.606417
"EAS","East Asia and Pacific",1981,5.552294
"EAS","East Asia and Pacific",1982,5.510195
"EAS","East Asia and Pacific",1983,5.468963
"EAS","East Asia and Pacific",1984,5.423605
"EAS","East Asia and Pacific",1985,5.383521
"EAS","East Asia and Pacific",1986,5.37968
"EAS","East Asia and Pacific",1987,5.384876
"EAS","East Asia and Pacific",1988,5.396685
"EAS","East Asia and Pacific",1989,5.409298
"EAS","East Asia and Pacific",1990,5.417525
"EAS","East Asia and Pacific",1991,5.461046
"EAS","East Asia and Pacific",1992,5.467318
"EAS","East Asia and Pacific",1993,5.454426
"EAS","East Asia and Pacific",1994,5.446061
"EAS","East Asia and Pacific",1995,5.450003
"EAS","East Asia and Pacific",1996,5.398562
"EAS","East Asia and Pacific",1997,5.387629
"EAS","East Asia and Pacific",1998,5.388884
"EAS","East Asia and Pacific",1999,5.361358
"EAS","East Asia and Pacific",2000,5.290476
"EAS","East Asia and Pacific",2001,5.236206
"EAS","East Asia and Pacific",2002,5.135522
"EAS","East Asia and Pacific",2003,5.008291
"EAS","East Asia and Pacific",2004,4.891011
"EAS","East Asia and Pacific",2005,4.803453
"EAS","East Asia and Pacific",2006,4.726547
"EAS","East Asia and Pacific",2007,4.67602
"EAS","East Asia and Pacific",2008,4.648688
"EAS","East Asia and Pacific",2009,4.629428
"EAS","East Asia and Pacific",2010,4.611108
"EAS","East Asia and Pacific",2011,4.602275
"EAS","East Asia and Pacific",2012,4.600334
"EAS","East Asia and Pacific",2013,4.60056
"EAS","East Asia and Pacific",2014,4.60262
"EAS","East Asia and Pacific",2015,4.605307
"EAS","East Asia and Pacific",2016,4.613744
"EAS","East Asia and Pacific",2017,4.619692
"EAS","East Asia and Pacific",2018,4.619775
"EAS","East Asia and Pacific",2019,4.615508
"EAS","East Asia and Pacific",2020,4.60563
"ECS","Europe and Central Asia",1960,1.87008
"ECS","Europe and Central Asia",1961,1.902375
"ECS","Europe and Central Asia",1962,1.928032
"ECS","Europe and Central Asia",1963,1.947439
"ECS","Europe and Central Asia",1964,1.962999
"ECS","Europe and Central Asia",1965,1.975554
"ECS","Europe and Central Asia",1966,1.985211
"ECS","Europe and Central Asia",1967,1.990758
"ECS","Europe and Central Asia",1968,1.992587
"ECS","Europe and Central Asia",1969,1.991771
"ECS","Europe and Central Asia",1970,1.988112
"ECS","Europe and Central Asia",1971,1.980734
"ECS","Europe and Central Asia",1972,1.975381
"ECS","Europe and Central Asia",1973,1.969597
"ECS","Europe and Central Asia",1974,1.96192
"ECS","Europe and Central Asia",1975,1.951953
"ECS","Europe and Central Asia",1976,1.945954
"ECS","Europe and Central Asia",1977,1.936027
"ECS","Europe and Central Asia",1978,1.924309
"ECS","Europe and Central Asia",1979,1.913791
"ECS","Europe and Central Asia",1980,1.906312
"ECS","Europe and Central Asia",1981,1.902001
"ECS","Europe and Central Asia",1982,1.900017
"ECS","Europe and Central Asia",1983,1.899994
"ECS","Europe and Central Asia",1984,1.900892
"ECS","Europe and Central Asia",1985,1.901237
"ECS","Europe and Central Asia",1986,1.904715
"ECS","Europe and Central Asia",1987,1.907079
"ECS","Europe and Central Asia",1988,1.907879
"ECS","Europe and Central Asia",1989,1.906293
"ECS","Europe and Central Asia",1990,1.900733
"ECS","Europe and Central Asia",1991,1.896877
"ECS","Europe and Central Asia",1992,1.88768
"ECS","Europe and Central Asia",1993,1.87423
"ECS","Europe and Central Asia",1994,1.85676
"ECS","Europe and Central Asia",1995,1.83667
"ECS","Europe and Central Asia",1996,1.809961
"ECS","Europe and Central Asia",1997,1.785026
"ECS","Europe and Central Asia",1998,1.759938
"ECS","Europe and Central Asia",1999,1.732372
"ECS","Europe and Central Asia",2000,1.702026
"ECS","Europe and Central Asia",2001,1.673016
"ECS","Europe and Central Asia",2002,1.642837
"ECS","Europe and Central Asia",2003,1.613878
"ECS","Europe and Central Asia",2004,1.588726
"ECS","Europe and Central Asia",2005,1.568748
"ECS","Europe and Central Asia",2006,1.555887
"ECS","Europe and Central Asia",2007,1.547772
"ECS","Europe and Central Asia",2008,1.544536
"ECS","Europe and Central Asia",2009,1.544095
"ECS","Europe and Central Asia",2010,1.546176
"ECS","Europe and Central Asia",2011,1.554852
"ECS","Europe and Central Asia",2012,1.565618
"ECS","Europe and Central Asia",2013,1.578593
"ECS","Europe and Central Asia",2014,1.593255
"ECS","Europe and Central Asia",2015,1.608872
"ECS","Europe and Central Asia",2016,1.623221
"ECS","Europe and Central Asia",2017,1.63727
"ECS","Europe and Central Asia",2018,1.650059
"ECS","Europe and Central Asia",2019,1.659547
"ECS","Europe and Central Asia",2020,1.664576
"LCN","Latin America and Caribbean",1960,.9331015
"LCN","Latin America and Caribbean",1961,.962746
