location_code,region,category_l,pchg_interp1teacher1,pchg_interp1youthpop1,pchg_interp1teacher2,pchg_interp1youthpop2,value_interp1teacher1,value_interp1teacher2,value_interp1youthpop1,value_interp1youthpop2
"AFG","South Asia","America and South Asia",67.516276,64.721551,200,60.24419,32367.55,137376.2,1.02e+07,1.63e+07
"AGO","Sub-Saharan Africa","Africa",22.5682,100,26.525982,97.042735,40080.81,50712.64,7738638,1.52e+07
"ARE","Middle East and North Africa","Africa",200,100,45.696382,79.508315,16916,24646,816214,1465172
"ATG","Latin America and Caribbean","America and South Asia",73.369069,-7.1565414,14.86237,-1.880044,695,798.2935,21808,21398
"AUT","Europe and Central Asia","East Asia and Europe",22.990009,-12.981473,10.170443,-4.6734781,33853,37296,1348118,1285114
"BDI","Sub-Saharan Africa","Africa",175.38395,71.936603,200,68.464774,12731,51732.66,3194025,5380807
"BEL","Europe and Central Asia","East Asia and Europe",41.690106,-9.3214296,19.242701,9.2034553,62644.03,74698.43,1800715,1966443
"BEN","Sub-Saharan Africa","Africa",170.50558,86.623315,200,64.075215,17710,57002,3099203,5085024
"BFA","Sub-Saharan Africa","Africa",200,74.570745,200,70.838297,17435,87304,5429021,9274847
"BGD","South Asia","America and South Asia",83.57047,32.499696,106.31045,-6.6060777,282439.7,582702.6,4.72e+07,4.41e+07
"BHR","Middle East and North Africa","Africa",81.753741,60.993193,102.23384,55.296802,4505.675,9112,200319,311089
"BHS","Latin America and Caribbean","America and South Asia",86.628146,12.183093,-36.485699,-2.748775,2273.131,1443.763,87348,84947
"BRA","Latin America and Caribbean","America and South Asia",46.50866,13.526318,-5.72995,-15.879659,815079,768375.4,5.23e+07,4.40e+07
"BRB","Latin America and Caribbean","America and South Asia",5.9186888,-21.146419,5.9583632,-18.652885,1393,1476,59208,48164
"BRN","East Asia and Pacific","East Asia and Europe",98.922801,35.341275,28.098676,-4.3803482,3324,4258,102138,97664
"BTN","South Asia","America and South Asia",118.75558,32.43692,42.2147,-18.36491,2068,2941,235302,192089
"BWA","Sub-Saharan Africa","Africa",128.27314,45.868945,-4.3083769,23.660137,12135,11612.18,635233,785530
"CAF","Sub-Saharan Africa","Africa",9.9737522,69.690435,161.07316,33.48705,4409.947,11513.19,1575406,2102963
"CHE","Europe and Central Asia","East Asia and Europe",45.107703,-2.0448813,49.618464,3.0901239,36611.13,54777,1253186,1291911
"CHN","East Asia and Pacific","East Asia and Europe",6.56483,-11.235683,9.7986348,-20.157713,5860000,6434200,3.13e+08,2.50e+08
"CIV","Sub-Saharan Africa","Africa",75.56585,97.452124,133.96598,52.506048,43205,101085,7179531,1.09e+07
"CMR","Sub-Saharan Africa","Africa",66.07451,81.588876,136.8033,59.627019,41998.58,99454.03,6995203,1.12e+07
"COD","Sub-Saharan Africa","Africa",57.03109,82.486365,200,91.192188,156028.1,652095.4,2.15e+07,4.10e+07
"COG","Sub-Saharan Africa","Africa",1.0361938,60.869332,200,72.695285,6923,33133.32,1318699,2277331
"COL","Latin America and Caribbean","America and South Asia",44.722505,19.898081,-6.344961,-12.559852,197374,184850.7,1.29e+07,1.13e+07
"COM","Sub-Saharan Africa","Africa",118.49167,72.985009,-17.170177,42.264475,2536,2100.564,238510,339315
"CPV","Sub-Saharan Africa","Africa",128.51003,36.991198,-1.4476001,-15.128289,3190,3143.822,183960,156130
"CRI","Latin America and Caribbean","America and South Asia",75.539854,40.238977,94.893944,-14.067395,22111,43093,1234692,1061003
"CUB","Latin America and Caribbean","America and South Asia",5.086744,-23.129064,-6.9192697,-24.910869,90920,84629,2401518,1803279
"CYP","Europe and Central Asia","East Asia and Europe",64,23.352832,48.44878,-5.2769574,3608,5356.032,211296,200146
"DJI","Middle East and North Africa","Africa",189.41632,76.284519,121.7106,-2.8493497,1041.899,2310,294032,285654
"DNK","Europe and Central Asia","East Asia and Europe",8.0637316,-7.6067578,22.070741,-3.7259214,37956,46333.17,986199,949454
"DOM","Latin America and Caribbean","America and South Asia",109.56116,19.150513,48.018934,.64459216,43941,65041,2957529,2976593
"DZA","Middle East and North Africa","Africa",99.490053,19.805245,17.69855,26.548677,170562,200749,1.07e+07,1.35e+07
"ECU","Latin America and Caribbean","America and South Asia",107.9061,32.132012,-7.8638795,8.9886092,82809,76297,4434201,4832774
"EGY","Middle East and North Africa","Africa",152.34631,43.645213,52.508477,36.828527,345828,527417,2.54e+07,3.47e+07
"ESP","Europe and Central Asia","East Asia and Europe",35.068836,-38.54384,36.307472,14.078626,174638,238044.6,5978403,6820080
"ETH","Sub-Saharan Africa","Africa",182.96347,94.058721,200,49.14177,86833,537596,3.08e+07,4.59e+07
"FIN","Europe and Central Asia","East Asia and Europe",-6.3582186,-3.2291151,19.186876,-6.5497387,23255,27716.91,938755,877269
"FJI","East Asia and Pacific","East Asia and Europe",-.70074672,13.87397,64.147068,-8.4618336,4079,6695.559,284111,260070
"FRA","Europe and Central Asia","East Asia and Europe",8.9736642,-6.8763614,1.0233513,3.284575,317704,320955.2,1.15e+07,1.19e+07
"FSM","East Asia and Pacific","East Asia and Europe",-23.737937,25.531484,-29.499321,-17.219261,855.3109,603,43341,35878
"GBR","Europe and Central Asia","East Asia and Europe",-8.2109593,-5.3206001,13.609662,6.0058962,248148,281920.1,1.12e+07,1.19e+07
"GEO","Europe and Central Asia","East Asia and Europe",5.8067556,-25.549003,84.12555,-11.329256,17714,32616,848926,752749
"GHA","Sub-Saharan Africa","Africa",57.435716,57.855459,145.00983,40.973558,75799,185715,8184332,1.15e+07
"GIN","Sub-Saharan Africa","Africa",153.39763,81.469599,153.2526,47.750666,17340,43914,3826399,5653530
"GMB","Sub-Saharan Africa","Africa",200,100,131.13208,71.2352,4664,10780,620272,1062124
"GNQ","Sub-Saharan Africa","Africa",119.61039,100,197.25327,100,1691,5026.553,246407,516007
"GRC","Europe and Central Asia","East Asia and Europe",32.715334,-28.530629,62.604523,-10.329158,48104,78219.28,1629581,1461259
"GRD","Latin America and Caribbean","America and South Asia",35.60477,-3.514736,-4.6192169,-22.098305,796,759.231,34342,26753
"GTM","Latin America and Caribbean","America and South Asia",146.70172,59.129561,97.760952,10.907032,58641,115969,5068189,5620978
"HKG","East Asia and Pacific","East Asia and Europe",28.052092,-11.988229,26.853334,-15.639498,23107,29312,1123898,948126
"HND","Latin America and Caribbean","America and South Asia",96.179432,61.382569,17.054505,7.6096168,32144,37626,2815398,3029639
"IDN","East Asia and Pacific","East Asia and Europe",79.982234,7.1387847,40.964563,9.2768199,1288965,1816984,6.49e+07,7.09e+07
"IND","South Asia","America and South Asia",72.783779,33.747918,61.959734,-1.6045526,2840314,4600165,3.67e+08,3.61e+08
"IRN","Middle East and North Africa","Africa",83.628877,32.258246,-15.553192,-6.7483748,316939,267644.9,2.23e+07,2.08e+07
"ISL","Europe and Central Asia","East Asia and Europe",56.857961,3.9724019,43.414792,9.0910484,2368.574,3396.885,65251,71183
"ISR","Middle East and North Africa","Africa",26.552626,37.890814,61.405303,45.221639,49863,80481.52,1765867,2564421
"ITA","Europe and Central Asia","East Asia and Europe",-5.9491495,-34.228625,-3.0853264,-5.34157,258827,250841.3,8156572,7720883
"JAM","Latin America and Caribbean","America and South Asia",22.456879,-.6589247,4.9892421,-18.95717,10755.39,11292,853466,691673
"JOR","Middle East and North Africa","Africa",139.83241,74.223269,95.731384,65.193141,33418.25,65410,2029215,3352124
"JPN","East Asia and Pacific","East Asia and Europe",-12.897663,-31.929197,3.6693016,-16.464876,407598,422554,1.88e+07,1.57e+07
"KAZ","Europe and Central Asia","East Asia and Europe",76.14488,-14.49812,45.968589,33.423408,61689.3,90047,4096602,5465826
"KGZ","Europe and Central Asia","East Asia and Europe",93.239768,28.0679,13.664178,25.5167,19284,21919,1711534,2148261
"KHM","East Asia and Pacific","East Asia and Europe",55.48352,83.903425,14.790868,2.2713251,44852,51486,5055507,5170334
"KIR","East Asia and Pacific","East Asia and Europe",5.7471264,44.240222,53.043478,27.132909,460,704,33745,42901
"KOR","East Asia and Pacific","East Asia and Europe",17.58382,-24.942847,35.204286,-32.906612,140000,189286,9690554,6501721
"KWT","Middle East and North Africa","Africa",31.779332,5.2450615,200,57.930133,10176,34105,580356,916557
"LAO","East Asia and Pacific","East Asia and Europe",84.155376,59.41762,25.916932,.69497123,27592,34743,2308297,2324339
"LBN","Middle East and North Africa","Africa",26.285521,18.009485,44.088332,43.199941,28393,40911,1194872,1711056
"LCA","Latin America and Caribbean","America and South Asia",15.81741,-2.1464622,-1.2832264,-34.853665,1091,1077,50603,32966
"LKA","South Asia","America and South Asia",8.0827178,-6.9201674,17.613677,3.3422778,67078.77,78893.81,5023580,5191482
"LSO","Sub-Saharan Africa","Africa",68.295076,32.373049,48.522618,-15.094038,8578,12740.27,813394,690620
"LTU","Europe and Central Asia","East Asia and Europe",95.073529,-11.89481,-35.823564,-38.315105,13265,8513.004,701290,432590
"LUX","Europe and Central Asia","East Asia and Europe",50.572363,21.007862,89.520456,18.663795,2702.774,5122.31,82652,98078
"LVA","Europe and Central Asia","East Asia and Europe",26.518218,-17.192519,17.563824,-26.132434,8935,10504.33,422762,312284
"MAC","East Asia and Pacific","East Asia and Europe",90.888288,73.461962,60.963245,-4.6211307,1578,2540,97725,93209
"MAR","Middle East and North Africa","Africa",134.69399,11.38735,30.683012,2.4682913,127582,166728,9642217,9880215
"MDA","Europe and Central Asia","East Asia and Europe",56.2098,-5.9602476,-35.89404,-39.289354,12080,7744,685799,416353
"MDG","Sub-Saharan Africa","Africa",33.608959,76.924899,185.27221,55.831515,46051,131370.7,7119051,1.11e+07
